team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
1,Cincinnati,290,21,42.99,64.71,18.8,21.9,8.3,11,40.9,2552,182.3,110,19,159,616,30,2912,208,1028,413,31.8,52,5464,390.3,6.8,4.7,208,377,16,22,41,16,300,27,590,30,250,72,3053,35,234,123,977
2,East Carolina,288,37,39.33,42.86,9.8,16.3,5.3,10,36.3,3466,288.8,152,22,99,449,12,1696,141.3,917,321,26.8,36,5162,430.2,7.7,3.8,270,451,24,29,15,11,108,40,653,15,79,65,2653,17,150,71,615
3,Houston,232,23,34.84,70.59,10.4,21.7,11.4,12,43.6,2440,203.3,97,19,112,466,20,2258,188.2,815,368,30.7,44,4698,391.5,7.8,4.8,176,314,20,24,17,8,83,26,564,16,182,54,2531,35,199,58,579
4,Memphis,327,31,45.88,58.33,4.8,26.2,8.1,11,40.8,4177,298.4,161,33,135,551,32,2614,186.7,1019,566,40.4,71,6791,485.1,9.5,4.7,281,441,23,25,32,11,53,46,1206,25,187,44,1957,27,170,103,839
5,Navy,282,12,46.2,76.47,4.8,16.9,6.2,4,39.1,1238,95.2,42,10,228,773,52,4687,360.5,894,483,37.2,64,5925,455.8,11.9,6.1,55,104,12,17,36,12,57,13,220,18,112,39,1668,17,95,54,459
6,SMU,321,40,43.87,73.33,10.1,26.1,8.1,11,36.4,4017,309,162,35,119,534,35,2351,180.8,1054,546,42,73,6368,489.8,8,4.4,313,503,12,16,28,9,91,43,1121,23,186,64,2499,17,108,83,743
7,South Florida,200,16,38.98,41.18,23.3,20.3,8.3,10,37.8,2035,169.6,80,18,104,445,15,1935,161.3,818,250,22.7,33,3970,330.8,6.2,4.3,177,328,7,14,19,12,279,30,609,15,125,74,3317,45,246,101,854
8,Temple,263,25,37.81,41.67,13.8,20,5.2,13,35.8,3312,254.8,146,26,92,479,16,1784,137.2,972,342,26.3,45,5096,392,7,3.7,282,472,11,15,27,8,110,39,781,13,68,65,2469,21,132,92,801
9,Tulane,299,16,38.46,58.82,10.8,23.3,9.9,10,36.2,2679,206.1,117,19,166,612,33,3162,243.2,976,430,33.1,56,5841,449.3,8,5.2,197,336,13,17,33,12,129,42,980,17,168,52,2155,28,186,103,883
10,Tulsa,263,25,42.51,56.52,7.4,19,4.1,9,36.6,3376,281.3,135,20,103,503,18,1660,138.3,986,317,26.4,39,5036,419.7,7.6,3.3,254,444,15,24,21,5,37,26,495,14,58,63,2636,39,242,109,949
