,Unnamed: 0,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,0,6.7,,,179.0,55.1,9.0,75,Desmond Ridder QB,325.0,2164.0,,123.7,,,,28.0,-197.0,18
1,1,7.6,,,29.0,56.9,2.0,56,Ben Bryant QB,51.0,388.0,,119.4,,,,7.0,-37.0,1
2,2,6.8,,,208.0,55.2,11.0,75,Total,377.0,2552.0,,122.8,,,,35.0,-234.0,19
3,0,,,4.8,,,,73,Michael Warren II RB,,,,,,261.0,1265.0,,,14
4,1,,,4.5,,,,49,Desmond Ridder QB,,,,,,144.0,650.0,,,5
5,10,,,2.0,,,,2,Jake Sopko QB,,,,,,1.0,2.0,,,0
6,11,,,4.7,,,,73,Total,,,,,,616.0,2912.0,,,30
7,2,,,5.3,,,,53,Gerrid Doaks RB,,,,,,100.0,526.0,,,5
8,3,,,4.8,,,,38,Tavion Thomas RB,,,,,,40.0,190.0,,,1
9,4,,,5.3,,,,26,Ryan Montgomery RB,,,,,,20.0,106.0,,,2
10,5,,,11.6,,,,32,Tre Tucker WR,,,,,,8.0,93.0,,,0
11,6,,,1.6,,,,21,Ben Bryant QB,,,,,,22.0,35.0,,,1
12,7,,,3.7,,,,12,Michael Kopaygorodsky RB,,,,,,7.0,26.0,,,1
13,8,,,12.5,,,,24,Rashad Medaris WR,,,,,,2.0,25.0,,,0
14,9,,,13.0,,,,13,Wilson Huber TE,,,,,,1.0,13.0,,,0
15,0,,17.6,,,,,52,Alec Pierce WR,,,37.0,,652.0,,,,,2
16,1,,12.9,,,,,73,Josiah Deguara TE,,,39.0,,504.0,,,,,7
17,10,,9.3,,,,,20,Leonard Taylor TE,,,4.0,,37.0,,,,,1
18,11,,4.9,,,,,10,Trent Cloud WR,,,7.0,,34.0,,,,,1
19,12,,9.5,,,,,11,Blue Smith WR,,,2.0,,19.0,,,,,0
20,13,,4.5,,,,,5,Bruno Labelle TE,,,2.0,,9.0,,,,,1
21,14,,7.0,,,,,7,Wyatt Fischer WR,,,1.0,,7.0,,,,,0
22,15,,7.0,,,,,7,Myjai Sanders DE,,,1.0,,7.0,,,,,0
23,16,,6.0,,,,,6,Tavion Thomas RB,,,1.0,,6.0,,,,,0
24,17,,12.3,,,,,75,Total,,,208.0,,2552.0,,,,,19
25,2,,14.2,,,,,75,Rashad Medaris WR,,,25.0,,354.0,,,,,2
26,3,,10.8,,,,,32,Malick Mbodj WR,,,23.0,,249.0,,,,,1
27,4,,10.1,,,,,24,Jayshon Jackson WR,,,17.0,,171.0,,,,,0
28,5,,7.3,,,,,30,Michael Warren II RB,,,21.0,,153.0,,,,,2
29,6,,12.5,,,,,51,Thomas Geddis WR,,,11.0,,137.0,,,,,1
30,7,,13.1,,,,,56,Tre Tucker WR,,,7.0,,92.0,,,,,0
31,8,,8.8,,,,,28,Gerrid Doaks RB,,,8.0,,70.0,,,,,1
32,9,,25.5,,,,,32,Josh Whyle TE,,,2.0,,51.0,,,,,0
33,0,8.1,,,158.0,65.6,5.0,54,Davis Mills QB,241.0,1960.0,,144.8,,,,13.0,-65.0,11
34,1,6.2,,,102.0,61.1,3.0,79,K.J. Costello QB,167.0,1038.0,,121.6,,,,8.0,-38.0,6
35,2,4.5,,,15.0,46.9,0.0,35,Jack West QB,32.0,143.0,,84.4,,,,8.0,-39.0,0
36,3,8.0,,,1.0,100.0,0.0,8,Colby Parkinson TE,1.0,8.0,,497.2,,,,0.0,0.0,1
37,4,7.1,,,276.0,62.2,8.0,79,Total,444.0,3149.0,,131.5,,,,29.0,-142.0,18
38,0,,,4.2,,,,45,Cameron Scarlett RB,,,,,,201.0,840.0,,,7
39,1,,,5.0,,,,35,Austin Jones RB,,,,,,45.0,227.0,,,1
40,2,,,3.4,,,,11,Dorian Maddox RB,,,,,,22.0,75.0,,,0
41,3,,,6.3,,,,14,Nathaniel Peat RB,,,,,,9.0,57.0,,,0
42,4,,,1.4,,,,17,Davis Mills QB,,,,,,32.0,44.0,,,0
43,5,,,10.0,,,,17,Connor Wedington WR,,,,,,3.0,30.0,,,0
44,6,,,1.3,,,,14,K.J. Costello QB,,,,,,18.0,24.0,,,0
45,7,,,6.0,,,,8,Osiris St. Brown WR,,,,,,2.0,12.0,,,0
46,8,,,-2.3,,,,7,Jack West QB,,,,,,12.0,-28.0,,,0
47,9,,,3.7,,,,45,Total,,,,,,346.0,1266.0,,,8
48,0,,12.0,,,,,47,Michael Wilson WR,,,56.0,,672.0,,,,,5
49,1,,12.3,,,,,36,Colby Parkinson TE,,,48.0,,589.0,,,,,1
50,10,,7.5,,,,,16,Tucker Fisk TE,,,4.0,,30.0,,,,,0
51,11,,5.8,,,,,12,Scooter Harrington TE,,,4.0,,23.0,,,,,0
